Month,Channel,Region,Product Line,Impressions,Clicks,Leads,MQLs,SQLs,Opportunities,Wins,Spend,Pipeline Value,Attributed Revenue
2026-01-01,Google Search,Northeast,Pouch Fillers,20160,758,46,27,15,7,1,4948,416380,76260
2026-01-01,Google Search,Northeast,Cartoning Machines,19560,767,48,29,16,8,2,5007,800842,256680
2026-01-01,Google Search,Northeast,Labeling Systems,21600,795,48,30,17,9,2,5190,313373,89280
2026-01-01,Google Search,Northeast,Case Packers,21000,806,51,33,18,10,2,5262,812448,208320
2026-01-01,Google Search,Midwest,Pouch Fillers,21480,773,47,27,15,7,2,5125,427573,156620
2026-01-01,Google Search,Midwest,Cartoning Machines,20880,785,49,30,17,9,2,5205,925166,263580
2026-01-01,Google Search,Midwest,Labeling Systems,22920,898,55,35,20,11,2,5954,393307,91680
2026-01-01,Google Search,Midwest,Case Packers,22320,821,52,34,19,11,2,5443,917717,213920
2026-01-01,Google Search,South,Pouch Fillers,22800,876,53,31,18,9,2,5897,564127,160720
2026-01-01,Google Search,South,Cartoning Machines,22200,799,50,30,18,9,2,5379,949385,270480
2026-01-01,Google Search,South,Labeling Systems,21600,812,50,32,19,10,2,5466,366912,94080
2026-01-01,Google Search,South,Case Packers,23640,927,58,38,22,12,3,6241,1027354,329280
2026-01-01,Google Search,West,Pouch Fillers,21480,790,48,28,17,8,2,5399,514238,164820
2026-01-01,Google Search,West,Cartoning Machines,23520,903,57,34,21,11,3,6171,1189960,416070
2026-01-01,Google Search,West,Labeling Systems,22920,825,50,32,20,11,3,5638,413899,144720
2026-01-01,Google Search,West,Case Packers,24960,938,59,39,24,14,3,6410,1229155,337680
2026-01-01,LinkedIn,Northeast,Pouch Fillers,12150,258,20,12,7,3,1,2378,178448,76260
2026-01-01,LinkedIn,Northeast,Cartoning Machines,13425,252,20,12,7,4,1,2322,400421,128340
2026-01-01,LinkedIn,Northeast,Labeling Systems,13050,266,21,13,7,4,1,2451,139277,44640
2026-01-01,LinkedIn,Northeast,Case Packers,14325,258,21,14,8,5,1,2378,406224,104160
2026-01-01,LinkedIn,Midwest,Pouch Fillers,12975,254,20,12,7,3,1,2377,183245,78310
